IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP10	IP_PROP11	IP_PROP12	IP_PROP13	IP_PROP14	IP_PROP22	IP_PROP15	IP_PROP16	IP_PROP17	IP_PROP18	IP_PROP19	IP_PROP20	IP_PROP21	IP_PROP23	IC_GROUP0	IC_GROUP1	IC_GROUP2
	Говядина  крупнокусковая Обеденная  кат. А		Y			/upload/iblock/879/8798dc8ad36a8b94e6e08fb815088e1f.jpg		text	/upload/iblock/f7b/f7bbe8a9fb1e7a068cdebb7f4390d15b.jpg		text		500										10 суток		16 гр	6 гр			Мясо	Говядина	
	Молоко коровье Топленое   4%		Y			/upload/iblock/3ac/3ac22cdca64c81c31bd7e53bef38794a.png	Отсутствует	text	/upload/iblock/616/616161dcd0f1ebf235f2b9a0096508c2.png		text		500								ПТП Новое	Молоко нормализованное	6 суток	65 ккал	2	8 гр	4 гр		Молоко	Молоко	
	Молоко коровье  Отборное  3,4-4,2%		Y					text			text		500										5 суток	61-67 ккал	2,8 гр	3,4-4,2 гр	4,7 гр		Молоко	Молоко	
	Сливки питьевые пастеризованные   10%		Y			/upload/iblock/b66/b66daff636da4ae36c91c3f12af7abd3.png	Отсутсвует	text	/upload/iblock/001/0014939a0f93da5e16f6939f3ff243bf.jpg		text		500								ООО ПТП Новое	Сливки нормализованные	5 суток	120 ккал	10 гр	2	6 гр		Молоко	Сливки	
	Молоко коровье  Отборное  3,4-4,2%		Y					text			text		500										5 суток	61-67 ккал	2,8 гр	3,4-4,2 гр	4,7 гр		Молоко	Молоко	
	Молоко коровье   3,2%		Y					text			text		500										5 суток	58 ккал	2,8 гр	3,2 гр	4,7 гр		Молоко	Молоко	
	Молоко коровье   3,2%		Y					text			text		500										5 суток	58 ккал	2,8 гр	3,2 гр	4,7 гр		Молоко	Молоко	
	Молоко коровье топленое   4%		Y					text			text		500										5 суток	65 ккал	2,8 гр	4 гр	4,7 гр		Молоко	Молоко	
	Молоко козье   30-35%		Y					text			text		500										7 суток	мжд 40%	15 гр	30-35 гр	4 гр		Молоко	Молоко	
	Сливки питьевые пастеризованные   10%		Y					text			text		500										5 суток	120 ккал	2,6 гр	10 гр	4,5 гр		Молоко	Сливки	
	Кисломолочные продукты Кефир   1%		Y					text			text		500										7 суток	55 ккал	2,8 гр	1 гр	4 гр		Молоко		
	Кисломолочные продукты Кефир   1%		Y					text			text		500										7 суток	55 ккал	2,8 гр	1 гр	4 гр		Молоко		
	Кисломолочные продукты Кефир   3,2%		Y					text			text		500										7 суток	55 ккал	2,8 гр	3,2 гр	4 гр		Молоко		
	Кисломолочные продукты Кефир   3,2%		Y					text			text		500										7 суток	55 ккал	2,8 гр	3,2 гр	4 гр		Молоко		
	Кисломолочные продукты Кефир на грибках  4,6%		Y					text			text		500																Молоко		
	Кисломолочные продукты Кефир на грибках  0,5%		Y					text			text		500																Молоко		
	Кисломолочные продукты Ряженка    4%		Y					text			text		500										5 суток	64 ккал	2,8 гр	4 гр	4,2 гр		Молоко		
	Кисломолочные продукты Ряженка  термостатная  4%		Y					text			text		500																Молоко		
	Кисломолочные продукты Простокваша    3,2%		Y					text			text		500										5 суток	57 ккал	2,8 гр	3,2 гр	4,2		Молоко		
	Кисломолочные продукты Йогурт   0,5%		Y					text			text		500																Молоко		
	Кисломолочные продукты Йогурт   0,5%		Y					text			text		500																Молоко		
	Кисломолочные продукты Йогурт   10%		Y					text			text		500																Молоко		
	Кисломолочные продукты Йогурт  турецкий 10%		Y					text			text		500																Молоко		
	Кисломолочные продукты Йогурт   3,2%		Y					text			text		500																Молоко		
	Кисломолочные продукты Йогурт   из козьего молока 10%		Y					text			text		500																Молоко		
	Кисломолочные продукты Йогурт   из козьего молока 0,5%		Y					text			text		500																Молоко		
	Сметана    25%		Y					text			text		500										7 суток	247 ккал	2,3 гр	25 гр	3,1		Молоко	Сметана	
	Сметана    20%		Y					text			text		500										7 суток	204 ккал	2,5 гр	20 гр	3,4		Молоко	Сметана	
	Сметана    45%		Y					text			text		500																Молоко	Сметана	
	Сметана   из козьего молока 		Y					text			text		500																Молоко	Сметана	
	Творог  обезжиренный   1,8%		Y					text			text		500										5 суток	101 ккал	18 гр	1,8 гр	3,3 гр		Молоко	Творог	
	Творог    9%		Y					text			text		500										5 суток	157 ккал	16 гр	9 гр	3 гр		Молоко	Творог	
	Творог    18%		Y					text			text		500										5 суток	229 ккал	14 гр	18 гр	2, 8 гр		Молоко	Творог	
	Творог   из козьего молока 15-18%		Y					text			text		500										7 суток	229 ккал	14 гр	15-18 гр	2,8 гр		Молоко	Творог	
	Масса творожная  с сахаром и изюмом  17%		Y					text			text		500										3 суток	228 ккал	9,3 гр	17 гр	17,9 гр		Молоко		
	Запеканка творожная  с изюмом  		Y					text			text		500																Молоко		
	Запеканка творожная  с курагой  		Y					text			text		500																Молоко		
	Масло сливочное   традиционное 1 сорт 82,5%		Y					text			text		500										35 суток	748 ккал	0,6 гр	82,5 гр			Молоко	Масло	
	Сыр мягкий   Адыгейский   45%		Y					text			text		500																Молоко		
	Сыр   Моцарела 		Y					text			text		500																Молоко		
	Сыр   Рикотта 		Y					text			text		500																Молоко		
	Сыр   Брынза 		Y					text			text		500																Молоко		
	Сыр   из козьего молока Рикотта 10-15%		Y					text			text		500										5 суток	мжд 35%	10 гр	10-15 гр	3 г		Молоко		
	Сыр   из козьего молока Камамбер 10-15%		Y					text			text		500										7 суток	мжд 45%	15 гр	10-15 гр	0,1 г 		Молоко		
	Сыр   из козьего молока Шевре 20-25%		Y					text			text		500										7 суток	мжд 20%	6 гр	20-25 гр	3 г		Молоко		
	Сыр   из козьего молока Бургос 20-25%		Y					text			text		500										5 суток	мжд 40%	15 гр	20-25 гр	4 г		Молоко		
	Сыр   из козьего молока молодой пресованный 30-35%		Y					text			text		500										7 суток	мжд 45%	15 гр	30-35 гр	4 г		Молоко		
	Говядина  в полутушах   		Y					text			text		500										10 суток						Мясо	Говядина 	
	Говядина  толстый край   на кости 		Y					text			text		500										10 суток	113	17	5			Мясо	Говядина 	
	Говядина  тонкий край  без кости 		Y					text			text		500										10 суток	118	16	6			Мясо	Говядина 	
	Говядина  крупнокусковая Вырезка  кат. А		Y					text			text		500										10 суток	113	17	5			Мясо	Говядина 	
	Говядина  крупнокусковая Обеденная без кости кат. А		Y					text			text		500										10 суток	118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  крупнокусковая Лопатка без кости кат. А		Y					text			text		500										10 суток	118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  крупнокусковая Филей без кости кат. А		Y					text			text		500										10 суток	113 ккал	17гр	5 гр			Мясо	Говядина 	
	Говядина  мелкокусковая Грудинка на кости кат. Б		Y					text			text		500											203,52 ккал	11,28 гр	17,6 гр			Мясо	Говядина 	
	Говядина  мелкокусковая Рагу на кости кат. Б		Y					text			text		500											111,04 ккал	17,86 гр	4,4 гр			Мясо	Говядина 	
	Говядина  мелкокусковая Гуляш без кости кат. А		Y					text			text		500											118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  мелкокусковая Поджарка без кости кат. А		Y					text			text		500											118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  мелкокусковая Азу без кости кат. А		Y					text			text		500											118 ккал	16 гр	 6 гр			Мясо	Говядина 	
	Говядина  мелкокусковая Мясо для шашлыка без кости кат. А		Y					text			text		500											118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  порционная Антрекот без кости кат. А		Y					text			text		500											113 ккал	17 гр	5 гр			Мясо	Говядина 	
	Говядина  порционная Ромштекс без кости кат. А		Y					text			text		500											118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  порционная Зразы без кости кат. А		Y					text			text		500											118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  порционная Говядина духовая без кости кат. А		Y					text			text		500											118 ккал	16 гр	6 гр			Мясо	Говядина 	
	Говядина  рубленая Фарш  кат. А		Y					text			text		500											99 ккал	16 гр	6 гр			Мясо	Говядина 	
	Свинина в полутушах  в шкуре 		Y					text			text		500																Мясо	Свинина	
	Свинина крупнокусковая Вырезка без кости кат. А		Y					text			text		500										10 суток	181 ккал	16 гр	13 гр			Мясо	Свинина	
	Свинина крупнокусковая Карбонад без кости кат. А		Y					text			text		500										10 суток	199 ккал	16 гр	15 гр			Мясо	Свинина	
	Свинина крупнокусковая Грудинка без кости кат. В		Y					text			text		500										10 суток	382 ккал	10 гр	38 гр			Мясо	Свинина	
	Свинина крупнокусковая Окорок без кости кат. Б		Y					text			text		500										10 суток	273 ккал	12 гр	25 гр			Мясо	Свинина	
	Свинина крупнокусковая Шейка без кости кат. Б		Y					text			text		500										10 суток	363 ккал	12 гр	35 гр			Мясо	Свинина	
	Свинина крупнокусковая Корейка без кости кат. Б		Y					text			text		500										10 суток	222 ккал	12 гр	20 гр			Мясо	Свинина	
	Свинина крупнокусковая Лопатка без кости кат. Б		Y					text			text		500										10 суток	273 ккал	12 гр	25 гр			Мясо	Свинина	
	Свинина мелкокусковая Рагу на кости кат. Б		Y					text			text		500										10 суток	284,1 ккал	15,98 гр	24,46 гр			Мясо	Свинина	
	Свинина мелкокусковая Рулька на кости кат. Б		Y					text			text		500										10 суток	284,1 ккал	15,98 гр	24,46 гр			Мясо	Свинина	
	Свинина мелкокусковая Гуляш без кости кат. А		Y					text			text		500										10 суток	226 ккал	16 гр	18 гр			Мясо	Свинина	
	Свинина мелкокусковая Поджарка без кости кат. А		Y					text			text		500										10 суток	212 ккал	17 гр	16 гр			Мясо	Свинина	
	Свинина мелкокусковая для шашлыка без кости кат. А		Y					text			text		500										10 суток	226 ккал	16 гр	18 гр			Мясо	Свинина	
	Свинина рубленая Фарш  кат. В		Y					text			text		500										10 суток	400 ккал	10 гр	40 гр			Мясо	Свинина	
	Свинина порционная Эскалоп без кости кат. А		Y					text			text		500										10 суток	210 ккал	16 гр	18 гр			Мясо	Свинина	
	Свинина порционная Шницель без кости кат. А		Y					text			text		500										10 суток	210 ккал	16 гр	18 гр			Мясо	Свинина	
	Свинина порционная Зразы без кости кат. А		Y					text			text		500										10 суток	210 ккал	16 гр	18 гр			Мясо	Свинина	
	Свинина порционная Котлеты на кости кат. Б		Y					text			text		500										10 суток	222 ккал	12 гр	20 гр			Мясо	Свинина	
	Баранина в тушах   		Y					text			text		500										10 суток						Мясо	Баранина	
	Баранина  Шея на кости 		Y					text			text		500										10 суток	150,48 ккал	18,63 гр	8,45 гр			Мясо	Баранина	
	Баранина крупнокусковая  Нога на кости кат. В		Y					text			text		500										10 суток	228 ккал	12 гр	20 гр			Мясо	Баранина	
	Баранина крупнокусковая  Грудинка с ребрами на кости кат. Б		Y					text			text		500										10 суток	150,48 ккал	18,63 гр	8,45 гр			Мясо	Баранина	
	Баранина крупнокусковая  Филей без кости кат. А		Y					text			text		500										10 суток	208 ккал	16 гр	16 гр			Мясо	Баранина	
	Баранина мелкокусковая для шашлыка без кости кат. А		Y					text			text		500										10 суток	208 ккал	16 гр	16 гр			Мясо	Баранина	
	Баранина мелкокусковая Поджарка без кости кат. А		Y					text			text		500										10 суток	208 ккал	16 гр	16 гр			Мясо	Баранина	
	Баранина порционная Котлета на кости кат. Б		Y					text			text		500										10 суток	228 ккал	12 гр	20 гр			Мясо	Баранина	
	Баранина порционная Эскалоп без кости кат. А		Y					text			text		500										10 суток	208 ккал	16 гр	16 гр			Мясо	Баранина	
	Баранина порционная Шницель без кости кат. А		Y					text			text		500										10 суток	226 ккал	16 гр	18 гр			Мясо	Баранина	
	Баранина порционная Баранина духовая без кости кат. А		Y					text			text		500										10 суток	226 ккал	16 гр	18 гр			Мясо	Баранина	
	Баранина рубленая Фарш  Кат. А		Y					text			text		500										10 суток	208 ккал	16 гр	16 гр			Мясо	Баранина	
	Кролик Тушка   		Y					text			text		500										10 суток	167,4 ккал	21,6 гр	9 гр			Мясо	Крольчатина	
	Индейка Тушка   		Y					text			text		500										10 суток	276 ккал	19,5 гр	22 гр			Птица		
	Индейка крупнокусковая  Голень на кости 		Y					text			text		500										10 суток	161 ккал	18,38 гр 	7,28 гр			Птица		
	Индейка крупнокусковая  Крыло  на кости 		Y					text			text		500										10 суток	161 ккал	11,6 гр	16,7 гр			Птица		
	Индейка крупнокусковая  Бедро  без кости 		Y					text			text		500										10 суток	276 ккал	19,5 гр	22 гр			Птица		
