IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP10;IP_PROP11;IP_PROP12;IP_PROP13;IP_PROP14;IP_PROP22;IP_PROP15;IP_PROP16;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP20;IP_PROP21;IP_PROP23;IC_GROUP0;IC_GROUP1;IC_GROUP2
47;Говядина  крупнокусковая Обеденная  кат. А;47;Y;;;/upload/iblock/74e/74ee63a31b6e04561dc7ecc69fece872.jpg;;text;/upload/iblock/7b0/7b0c441017ebbcb3c01dbafc92833fba.jpg;;text;;500;;Нет;;;;;;;;10 суток;;16 гр;6 гр;;;Мясо;Говядина;
79;Молоко коровье Топленое   4%;79;Y;;;/upload/iblock/42f/42f021ebd7950520d442af94308dda5a.png;Отсутствует;text;/upload/iblock/53e/53e32a706071c125c0b80c90795f5288.png;;text;;500;;Нет;;;;;;ПТП Новое;Молоко нормализованное;6 суток;65 ккал;2;8 гр;4 гр;;Молоко;Молоко;
80;Сливки питьевые пастеризованные   10%;80;Y;;;/upload/iblock/151/1513e3e8c6120a6c45946010d4dc5e82.png;Отсутсвует;text;/upload/iblock/a9d/a9dbf45caaf1fe4d268356bb5fa8ce01.jpg;;text;;500;;Нет;;;;;;ООО ПТП Новое;Сливки нормализованные;5 суток;120 ккал;10 гр;2;6 гр;;Молоко;Сливки;
