IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP10	IP_PROP11	IP_PROP12	IP_PROP13	IP_PROP14	IP_PROP22	IP_PROP15	IP_PROP16	IP_PROP17	IP_PROP18	IP_PROP19	IP_PROP20	IP_PROP21	IP_PROP23	IC_GROUP0	IC_GROUP1	IC_GROUP2
	Кисломолочные продукты Кефир   1%		N					text					500		Нет								7 суток	55 ккал	2,8 гр	1 гр	4 гр		Молоко	Кисломолочные продукты	
	Кисломолочные продукты Кефир   3,2%		N					text					500		Нет								7 суток	55 ккал	2,8 гр	3,2 гр	4 гр		Молоко	Кисломолочные продукты	
	Кисломолочные продукты Кефир   3,2%		N					text					500		Нет								7 суток	55 ккал	2,8 гр	3,2 гр	4 гр		Молоко	Кисломолочные продукты	
	Кисломолочные продукты Кефир на грибках  4,6%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Кефир на грибках  0,5%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Ряженка    4%		N					text					500		Нет								5 суток	64 ккал	2,8 гр	4 гр	4,2 гр		Молоко	Кисломолочные продукты	
	Кисломолочные продукты Ряженка  термостатная  4%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Простокваша    3,2%		N					text					500		Нет								5 суток	57 ккал	2,8 гр	3,2 гр	4,2		Молоко	Кисломолочные продукты	
	Кисломолочные продукты Йогурт   0,5%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Йогурт   0,5%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Йогурт   10%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Йогурт  турецкий 10%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Йогурт   3,2%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Йогурт   из козьего молока 10%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Кисломолочные продукты Йогурт   из козьего молока 0,5%		N					text					500		Нет														Молоко	Кисломолочные продукты	
	Сметана    25%		N					text					500		Нет								7 суток	247 ккал	2,3 гр	25 гр	3,1		Молоко	Сметана	
	Сметана    20%		N					text					500		Нет								7 суток	204 ккал	2,5 гр	20 гр	3,4		Молоко	Сметана	
	Сметана    45%		N					text					500		Нет														Молоко	Сметана	
	Сметана   из козьего молока 		N					text					500		Нет														Молоко	Сметана	
	Творог  обезжиренный   1,8%		N					text					500		Нет								5 суток	101 ккал	18 гр	1,8 гр	3,3 гр		Молоко	Творог	
	Творог    9%		N					text					500		Нет								5 суток	157 ккал	16 гр	9 гр	3 гр		Молоко	Творог	
	Творог    18%		N					text					500		Нет								5 суток	229 ккал	14 гр	18 гр	2, 8 гр		Молоко	Творог	
	Творог   из козьего молока 15-18%		N					text					500		Нет								7 суток	229 ккал	14 гр	15-18 гр	2,8 гр		Молоко	Творог	
	Масса творожная  с сахаром и изюмом  17%		N					text					500		Нет								3 суток	228 ккал	9,3 гр	17 гр	17,9 гр		Молоко	Масса	
	Запеканка творожная  с изюмом  		N					text					500		Нет														Молоко	Запеканка	
	Запеканка творожная  с курагой  		N					text					500		Нет														Молоко	Запеканка	
	Масло сливочное   традиционное 1 сорт 82,5%		N					text					500		Нет								35 суток	748 ккал	0,6 гр	82,5 гр			Молоко	Масло	
	Сыр мягкий   Адыгейский   45%		N					text					500		Нет														Молоко	Сыр	
	Сыр   Моцарела 		N					text					500		Нет														Молоко	Сыр	
	Сыр   Рикотта 		N					text					500		Нет														Молоко	Сыр	
	Сыр   Брынза 		N					text					500		Нет														Молоко	Сыр	
	Сыр   из козьего молока Рикотта 10-15%		N					text					500		Нет								5 суток	мжд 35%	10 гр	10-15 гр	3 г		Молоко	Сыр	
	Сыр   из козьего молока Камамбер 10-15%		N					text					500		Нет								7 суток	мжд 45%	15 гр	10-15 гр	0,1 г 		Молоко	Сыр	
	Сыр   из козьего молока Шевре 20-25%		N					text					500		Нет								7 суток	мжд 20%	6 гр	20-25 гр	3 г		Молоко	Сыр	
	Сыр   из козьего молока Бургос 20-25%		N					text					500		Нет								5 суток	мжд 40%	15 гр	20-25 гр	4 г		Молоко	Сыр	
	Сыр   из козьего молока молодой пресованный 30-35%		N					text					500		Нет								7 суток	мжд 45%	15 гр	30-35 гр	4 г		Молоко	Сыр	
