IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP10;IP_PROP11;IP_PROP12;IP_PROP13;IP_PROP14;IP_PROP22;IP_PROP15;IP_PROP16;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP20;IP_PROP21;IP_PROP23;IC_GROUP0;IC_GROUP1;IC_GROUP2
47;Говядина  крупнокусковая Обеденная  кат. А;47;Y;;;/upload/iblock/1f0/1f0b621aac22170bccd5bea5ee021156.jpg;;text;/upload/iblock/bf3/bf33581944bebbeda2b49b56d3f299ea.jpg;;text;;500;;Нет;;;;;;;;10 суток;;16 гр;6 гр;;;Мясо;Говядина;
79;Молоко коровье Топленое   4%;79;Y;;;/upload/iblock/0c4/0c4e5c698a18d3255def6dbfa710d0a6.png;Отсутствует;text;/upload/iblock/67a/67a37b290a66bf3d952310251eb3e0f9.png;;text;;500;;Нет;;;;;;ПТП Новое;Молоко нормализованное;6 суток;65 ккал;2;8 гр;4 гр;;Молоко;Молоко;
80;Сливки питьевые пастеризованные   10%;80;Y;;;/upload/iblock/65a/65a9308bb6cb8a6aaa7a21f9a12db423.png;Отсутсвует;text;/upload/iblock/6fc/6fc0400d713d4b1f33242cb7a5452af3.jpg;;text;;500;;Нет;;;;;;ООО ПТП Новое;Сливки нормализованные;5 суток;120 ккал;10 гр;2;6 гр;;Молоко;Сливки;
