IE_XML_ID	IE_NAME	IE_ID	IE_ACTIVE	IE_ACTIVE_FROM	IE_ACTIVE_TO	IE_PREVIEW_PICTURE	IE_PREVIEW_TEXT	IE_PREVIEW_TEXT_TYPE	IE_DETAIL_PICTURE	IE_DETAIL_TEXT	IE_DETAIL_TEXT_TYPE	IE_CODE	IE_SORT	IE_TAGS	IP_PROP10	IP_PROP11	IP_PROP12	IP_PROP13	IP_PROP14	IP_PROP22	IP_PROP15	IP_PROP16	IP_PROP17	IP_PROP18	IP_PROP19	IP_PROP20	IP_PROP21	IP_PROP23	IC_GROUP0	IC_GROUP1	IC_GROUP2
47	Говядина  крупнокусковая Обеденная  кат. А	47	Y			/upload/iblock/bea/bea435524798f33248de9c241e0f7985.jpg		text	/upload/iblock/3e3/3e3c56813f55a479237b1df03ec74185.jpg		text		500		Нет								10 суток		16 гр	6 гр			Мясо	Говядина	
79	Молоко коровье Топленое   4%	79	Y			/upload/iblock/5c6/5c6f52d2e7deaa4ef84c51dc11a3a13c.png	Отсутствует	text	/upload/iblock/365/3651249680b99cc5fdae84f347c317da.png		text		500		Нет						ПТП Новое	Молоко нормализованное	6 суток	65 ккал	2	8 гр	4 гр		Молоко	Молоко	
80	Сливки питьевые пастеризованные   10%	80	Y			/upload/iblock/fa4/fa4ea2e51770a07b3a422786a8bc6031.png	Отсутсвует	text	/upload/iblock/121/121f37fe4323f71d88c79b5f5c9e3bb5.jpg		text		500		Нет						ООО ПТП Новое	Сливки нормализованные	5 суток	120 ккал	10 гр	2	6 гр		Молоко	Сливки	
